,impression_uuid,tag
0,00000000-0000-0001-6268-860993461181,fclick
1,00000000-0000-0001-6268-861002231327,fclick
2,00000000-0000-0001-6268-861081671348,fclick
3,00000000-0000-0001-6268-869788991321,fclick
4,00000000-0000-0001-6268-869788451455,fclick
5,00000000-0000-0001-6268-869948701707,fclick
6,00000000-0000-0001-6268-870097501839,fclick
7,00000000-0000-0001-6268-869713821566,fclick
9,00000000-0000-0001-6268-918439081728,fclick
10,00000000-0000-0001-6268-921595501360,fclick
11,00000000-0000-0001-6268-921605491321,fclick
13,00000000-0000-0001-6268-921680261831,fclick
14,00000000-0000-0001-6268-928789941317,fclick
17,00000000-0000-0001-6268-928815531491,fclick
18,00000000-0000-0001-6268-928842251965,fclick
20,00000000-0000-0001-6268-969431831237,fclick
21,00000000-0000-0001-6268-873419161814,vregistration
22,00000000-0000-0001-6268-982890361315,fclick
24,00000000-0000-0001-6268-986646531214,fclick
26,00000000-0000-0001-6268-986646531214,registration
27,00000000-0000-0001-6268-942412571423,vcontent
28,00000000-0000-0001-6268-990547181697,fclick
31,00000000-0000-0001-6268-879333131614,vregistration
32,00000000-0000-0001-6269-018023351710,fclick
34,00000000-0000-0001-6269-034772821064,fclick
35,00000000-0000-0001-6269-034772821064,registration
36,00000000-0000-0001-6269-036753861234,fclick
38,00000000-0000-0001-6269-040414561508,fclick
39,00000000-0000-0001-6269-040414561508,registration
40,00000000-0000-0001-6269-006790711991,vregistration
41,00000000-0000-0001-6269-004830591822,vregistration
42,00000000-0000-0001-6269-057027391930,fclick
44,00000000-0000-0001-6268-869948701707,vregistration
45,00000000-0000-0001-6269-057801141157,vregistration
46,00000000-0000-0001-6268-910607861539,vregistration
47,00000000-0000-0001-6268-964913781757,vregistration
51,00000000-0000-0001-6268-960984561662,vregistration
52,00000000-0000-0001-6269-125248461755,fclick
54,00000000-0000-0001-6269-051486191968,vregistration
55,00000000-0000-0001-6269-129938111416,fclick
56,00000000-0000-0001-6268-963789971950,vregistration
59,00000000-0000-0001-6268-983873151373,vregistration
60,00000000-0000-0001-6269-008374671315,vregistration
62,00000000-0000-0001-6269-034206151909,vregistration
63,00000000-0000-0001-6269-030756391938,vregistration
65,00000000-0000-0001-6269-048438611377,vregistration
67,00000000-0000-0001-6268-996015531787,vregistration
72,00000000-0000-0001-6268-984877931354,vregistration
73,00000000-0000-0001-6268-985410941528,vregistration
74,00000000-0000-0001-6268-935351371985,vregistration
76,00000000-0000-0001-6269-212408081236,vregistration
77,00000000-0000-0001-6269-246358761405,fclick
79,00000000-0000-0001-6268-971478381147,vregistration
83,00000000-0000-0001-6269-259368401796,vregistration
87,00000000-0000-0001-6269-337117531111,fclick
88,00000000-0000-0001-6269-233755521679,vregistration
90,00000000-0000-0001-6269-083577041874,vregistration
91,00000000-0000-0001-6269-362543881265,vregistration
92,00000000-0000-0001-6269-432605111526,fclick
94,00000000-0000-0001-6269-440058111348,fclick
96,00000000-0000-0001-6269-447174941296,fclick
98,00000000-0000-0001-6269-450324351582,fclick
99,00000000-0000-0001-6269-452752981197,fclick
101,00000000-0000-0001-6269-273092031010,vregistration
102,00000000-0000-0001-6269-464422861638,fclick
104,00000000-0000-0001-6269-465506851258,fclick
106,00000000-0000-0001-6269-470035561118,fclick
109,00000000-0000-0001-6269-473106261498,fclick
113,00000000-0000-0001-6269-481078451568,fclick
114,00000000-0000-0001-6269-481583161674,fclick
115,00000000-0000-0001-6269-482959551651,fclick
116,00000000-0000-0001-6269-483719991837,fclick
118,00000000-0000-0001-6269-485900691242,fclick
119,00000000-0000-0001-6269-489987181741,fclick
122,00000000-0000-0001-6269-028548861173,vregistration
123,00000000-0000-0001-6269-503919711488,fclick
125,00000000-0000-0001-6269-506007291935,fclick
127,00000000-0000-0001-6269-511637291666,fclick
128,00000000-0000-0001-6269-513667441232,fclick
131,00000000-0000-0001-6269-522085801173,fclick
133,00000000-0000-0001-6269-524886031461,fclick
138,00000000-0000-0001-6269-531040511237,fclick
140,00000000-0000-0001-6269-132270411208,vregistration
141,00000000-0000-0001-6269-548348891696,fclick
142,00000000-0000-0001-6269-527407931973,vregistration
143,00000000-0000-0001-6269-471181081440,vregistration
144,00000000-0000-0001-6269-551692371469,fclick
146,00000000-0000-0001-6269-518538261478,vsignup
147,00000000-0000-0001-6269-518538261478,vcontent
148,00000000-0000-0001-6269-539462851265,fclick
149,00000000-0000-0001-6269-555389931841,fclick
151,00000000-0000-0001-6269-558475241227,fclick
152,00000000-0000-0001-6269-547474071458,vregistration
153,00000000-0000-0001-6269-547474071458,vmisc
155,00000000-0000-0001-6269-571252311456,fclick
159,00000000-0000-0001-6269-489879581352,vregistration
160,00000000-0000-0001-6269-496295561603,vregistration
161,00000000-0000-0001-6269-574559331826,fclick
162,00000000-0000-0001-6269-574559331826,registration
164,00000000-0000-0001-6269-509839721215,vregistration
165,00000000-0000-0001-6269-509839721215,vsignup
166,00000000-0000-0001-6269-578588871684,fclick
168,00000000-0000-0001-6269-026034791672,vregistration
169,00000000-0000-0001-6269-580756581528,fclick
172,00000000-0000-0001-6269-133773531365,vmisc
175,00000000-0000-0001-6269-585770701026,fclick
176,00000000-0000-0001-6269-547474071458,vcontent
177,00000000-0000-0001-6269-407188031932,vregistration
178,00000000-0000-0001-6268-978634621902,vcontent
179,00000000-0000-0001-6268-978634621902,vlead
180,00000000-0000-0001-6269-468638841599,vregistration
181,00000000-0000-0001-6269-597757531325,fclick
182,00000000-0000-0001-6269-600973211148,fclick
184,00000000-0000-0001-6268-941208881667,vregistration
186,00000000-0000-0001-6269-597875961589,vregistration
187,00000000-0000-0001-6269-600299081727,vregistration
188,00000000-0000-0001-6269-627329081924,fclick
191,00000000-0000-0001-6269-635166411069,fclick
193,00000000-0000-0001-6269-636663891574,fclick
195,00000000-0000-0001-6269-049456261061,vregistration
196,00000000-0000-0001-6269-646048901371,fclick
197,00000000-0000-0001-6269-646603571315,fclick
200,00000000-0000-0001-6269-015269951078,vregistration
205,00000000-0000-0001-6269-668226571934,fclick
206,00000000-0000-0001-6269-566400381848,vregistration
207,00000000-0000-0001-6269-613011441585,vregistration
208,00000000-0000-0001-6269-588766801121,vregistration
209,00000000-0000-0001-6269-566400381848,vsignup
210,00000000-0000-0001-6269-674871891623,fclick
211,00000000-0000-0001-6269-675329351089,fclick
213,00000000-0000-0001-6269-676069321844,fclick
215,00000000-0000-0001-6269-678851921292,fclick
216,00000000-0000-0001-6269-680995411346,fclick
221,00000000-0000-0001-6269-693637221618,fclick
223,00000000-0000-0001-6269-696070741672,fclick
224,00000000-0000-0001-6269-699168631298,fclick
226,00000000-0000-0001-6269-700327951735,fclick
227,00000000-0000-0001-6269-700327951735,registration
228,00000000-0000-0001-6269-706705431929,fclick
230,00000000-0000-0001-6269-578845111500,vregistration
232,00000000-0000-0001-6269-533956891319,vregistration
234,00000000-0000-0001-6269-711955331811,fclick
236,00000000-0000-0001-6269-712235821715,fclick
237,00000000-0000-0001-6269-712617521519,vregistration
238,00000000-0000-0001-6269-651043771847,vregistration
239,00000000-0000-0001-6269-449116801672,vregistration
241,00000000-0000-0001-6269-681384881665,vcontent
242,00000000-0000-0001-6269-725427911060,fclick
245,00000000-0000-0001-6269-728114091454,fclick
246,00000000-0000-0001-6269-728422351643,fclick
249,00000000-0000-0001-6269-530169081808,vregistration
250,00000000-0000-0001-6269-627150521334,vsignup
251,00000000-0000-0001-6269-627150521334,vcontent
252,00000000-0000-0001-6269-499544591504,vregistration
253,00000000-0000-0001-6269-432647021226,vregistration
254,00000000-0000-0001-6269-467713281587,vregistration
255,00000000-0000-0001-6269-525120681742,vcontent
256,00000000-0000-0001-6269-558531691837,vregistration
257,00000000-0000-0001-6269-473864851829,vregistration
258,00000000-0000-0001-6269-742175081346,fclick
260,00000000-0000-0001-6269-742327181695,fclick
261,00000000-0000-0001-6269-742659321556,fclick
262,00000000-0000-0001-6269-744635351493,fclick
263,00000000-0000-0001-6269-744635351493,registration
265,00000000-0000-0001-6269-744413831895,fclick
266,00000000-0000-0001-6269-694787891540,vregistration
267,00000000-0000-0001-6269-240223831873,vregistration
